iter	Logloss
0	0.6611116317
1	0.6336741393
2	0.6079256292
3	0.5823516132
4	0.5633553301
5	0.5432235979
6	0.5272463692
7	0.5125700856
8	0.5017403494
9	0.4905849501
10	0.4796075528
11	0.4699174162
12	0.4602561961
13	0.4534424158
14	0.445770849
15	0.4410271037
16	0.4342314096
17	0.4306285989
18	0.4261305192
19	0.4232921259
20	0.416523149
21	0.4096344481
22	0.4053827518
23	0.400539183
24	0.3951263653
25	0.3909167153
26	0.3869699702
27	0.3828426147
28	0.3801997887
29	0.3779239314
30	0.3752621514
31	0.3722629024
32	0.3696403663
33	0.367740545
34	0.3673934822
35	0.3648819792
36	0.3624084791
37	0.3583057642
38	0.3562636902
39	0.3533790638
40	0.3512075422
41	0.3504969521
42	0.3493423485
43	0.3475734055
44	0.3446468572
45	0.3420820129
46	0.339952396
47	0.3380739956
48	0.3367847057
49	0.3338313197
50	0.3324306051
51	0.3320303302
52	0.3307740445
53	0.3281392428
54	0.3262661561
55	0.3229920816
56	0.3211897656
57	0.3203271186
58	0.3188395036
59	0.3164267919
60	0.3155061281
61	0.3140225359
62	0.313671268
63	0.312268168
64	0.3119751782
65	0.3117140116
66	0.3097475033
67	0.3093154804
68	0.3082660803
69	0.307034619
70	0.3059464687
71	0.3044349478
72	0.3033212321
73	0.3028152892
74	0.3021237437
75	0.3017950415
76	0.3009407609
77	0.3006671775
78	0.2992412177
79	0.2984542956
80	0.2972065614
81	0.2960131927
82	0.2947030889
83	0.2941968804
84	0.2940102854
85	0.293093137
86	0.2926711443
87	0.2916652466
88	0.2912949326
89	0.2895841025
90	0.2890980765
91	0.2884998779
92	0.2879021951
93	0.2867817574
94	0.2864094827
95	0.2859104425
96	0.2859082811
97	0.2857640686
98	0.2845835295
99	0.2831826146
100	0.2811909087
101	0.280613796
102	0.2795941944
103	0.278638768
104	0.2784149175
105	0.2779747383
106	0.2762558232
107	0.2757754865
108	0.2742443155
109	0.2735122056
110	0.2730148945
111	0.2717348773
112	0.2703948618
113	0.2687921714
114	0.2677690683
115	0.2667346306
116	0.2663517956
117	0.2663473245
118	0.2650811253
119	0.2650144618
120	0.2643974831
121	0.2626870656
122	0.2625727305
123	0.2618359657
124	0.2610880764
125	0.2608945341
126	0.2597801263
127	0.2591682149
128	0.2584979882
129	0.2581247218
130	0.2561933676
131	0.2558469311
132	0.2548903289
133	0.253957912
134	0.2532414003
135	0.2530948518
136	0.2530298737
137	0.2524562065
138	0.2515337145
139	0.2508264116
140	0.2502652194
141	0.2497936884
142	0.2494946946
143	0.248979253
144	0.2477812765
145	0.2475739357
146	0.2471727496
147	0.2471706454
148	0.2467340055
149	0.2457783953
150	0.2453155282
151	0.2450673331
152	0.2448667966
153	0.2448652113
154	0.2442553919
155	0.2442539882
156	0.2438591292
157	0.2430951427
158	0.2418985317
159	0.2408034547
160	0.2399858893
161	0.2395548662
162	0.2381133091
163	0.2372079271
164	0.2371070008
165	0.237018932
166	0.2369377567
167	0.2355061858
168	0.235390554
169	0.2348055448
170	0.2346823831
171	0.2340021794
172	0.2338931073
173	0.2335418031
174	0.2331272441
175	0.2329516676
176	0.231602503
177	0.2310561218
178	0.2308560055
179	0.2291918277
180	0.2289876021
181	0.2284154702
182	0.2283444068
183	0.2273504122
184	0.2263381804
185	0.2258499422
186	0.2256858276
187	0.2254969899
188	0.225445061
189	0.2249359581
190	0.2241143249
191	0.224010283
192	0.2233459077
193	0.223217041
194	0.22300819
195	0.2225056511
196	0.2221607055
197	0.2213138684
198	0.2205250414
199	0.2198074089
200	0.2192455241
201	0.2184229025
202	0.2169985048
203	0.2153072473
204	0.2142141768
205	0.2132238455
206	0.2130069899
207	0.2129059752
208	0.2118719499
209	0.2118202722
210	0.2111928334
211	0.2101918434
212	0.2100349688
213	0.209988859
214	0.2092630969
215	0.208997904
216	0.2089557523
217	0.2080136047
218	0.207158512
219	0.2067406103
220	0.2066797099
221	0.2066426562
222	0.206465983
223	0.2057483406
224	0.2050059325
225	0.2040479684
226	0.2036298402
227	0.2033441213
228	0.2026136881
229	0.201717093
230	0.2009144946
231	0.200368367
232	0.2002405439
233	0.1998194938
234	0.1986975005
235	0.1986135287
236	0.1982731013
237	0.1975129106
238	0.1971003756
239	0.1968850622
240	0.1968358399
241	0.1965530967
242	0.1960487915
243	0.1959821747
244	0.195823784
245	0.1951062609
246	0.1941880775
247	0.1935806433
248	0.1932711851
249	0.1926200979
250	0.1922406414
251	0.1918152318
252	0.1912028388
253	0.1910193799
254	0.1907120756
255	0.1906026742
256	0.1903779354
