iter	Logloss
0	0.6876827438
1	0.6805349285
2	0.6771747042
3	0.6720084503
4	0.6683073937
5	0.6604047339
6	0.6588511359
7	0.6510860173
8	0.6441163446
9	0.6344147699
10	0.6262688589
11	0.6170247287
12	0.6103282336
13	0.6061820787
14	0.6007096319
15	0.5967573068
16	0.5922143163
17	0.5874286044
18	0.582656901
19	0.5771141903
20	0.572850103
21	0.5663814468
22	0.565136061
23	0.5609639657
24	0.5577931542
25	0.5560024317
26	0.5540892556
27	0.5494209389
28	0.5460941505
29	0.5438094249
30	0.5407747993
31	0.5385930827
32	0.5351609057
33	0.5316938448
34	0.5264250657
35	0.522696465
36	0.5188397219
37	0.5158611242
38	0.5135808617
39	0.5110922563
40	0.5096882752
41	0.507520848
42	0.5063657025
43	0.505690058
44	0.5031777535
45	0.500119788
46	0.4964661883
47	0.4946969549
48	0.4940173471
49	0.4907127585
50	0.4892915461
51	0.486177576
52	0.4826903263
53	0.4805552356
54	0.4769948836
55	0.4757328793
56	0.4745120491
57	0.4713342066
58	0.4711020297
59	0.4663429101
60	0.4633128081
61	0.4609290303
62	0.4589430861
63	0.456404861
64	0.4536667103
65	0.4530176715
66	0.4511761878
67	0.4501325071
68	0.4476567859
69	0.446738999
70	0.4426277179
71	0.4396042624
72	0.4384652765
73	0.4383470636
74	0.4381225835
75	0.4376662119
76	0.4353075592
77	0.4352637355
78	0.4348228935
79	0.4323363571
80	0.4315524636
81	0.4306236285
82	0.4287302595
83	0.4280027751
84	0.4278747547
85	0.4253718231
86	0.4243449306
87	0.423338802
88	0.4227476312
89	0.4214778953
90	0.4187058776
91	0.4187058619
92	0.4161122788
93	0.4130188955
94	0.4107013179
95	0.4091700872
96	0.407032236
97	0.4056911505
98	0.4042509787
99	0.4028036268
100	0.4012922698
101	0.3991836005
102	0.3976600942
103	0.3971500692
104	0.396919523
105	0.3951793302
106	0.3940802345
107	0.3927075404
108	0.3921066852
109	0.3903026149
110	0.3897889079
111	0.3874112795
112	0.3862703797
113	0.3838112331
114	0.3811117272
115	0.3792679466
116	0.377284932
117	0.3770447701
118	0.3764094065
119	0.3739545275
120	0.3719637499
121	0.3698105841
122	0.3698105782
123	0.3675125542
124	0.365532301
125	0.3654911628
126	0.3630702458
127	0.3605993577
128	0.3584397924
129	0.3580300391
130	0.3575258639
131	0.3569651877
132	0.3563978003
133	0.3553891526
134	0.3537622244
135	0.3523302334
136	0.351057291
137	0.3496456743
138	0.3474528284
139	0.3455308286
140	0.3438104494
141	0.3433488647
142	0.3428225759
143	0.3415932079
144	0.33872586
145	0.3378538199
146	0.3361465912
147	0.3335562062
148	0.3318388889
149	0.3301138273
150	0.3291332167
151	0.3278889565
152	0.3255064097
153	0.3239148684
154	0.3218876721
155	0.319946753
