iter	Logloss
0	0.6815279108
1	0.6738588002
2	0.6665482842
3	0.6589347598
4	0.6501639227
5	0.6434939921
6	0.6372378345
7	0.6297971292
8	0.6260041309
9	0.6199105637
10	0.6140604799
11	0.6067404597
12	0.6021966632
13	0.599362284
14	0.5929336331
15	0.5880369513
16	0.5844454604
17	0.5825439614
18	0.5792598346
19	0.5747911426
20	0.5713756876
21	0.568551193
22	0.5635384565
23	0.5602103963
24	0.5568725855
25	0.5526150142
26	0.5508993025
27	0.548382332
28	0.5462873366
29	0.5406817202
30	0.5368510695
31	0.5351476798
32	0.5318843945
33	0.528681651
34	0.5261066609
35	0.5226484976
36	0.5192644132
37	0.5179449813
38	0.5151489555
39	0.5119102096
40	0.5082670964
41	0.5040038274
42	0.5011136536
43	0.4971913486
44	0.4946757009
45	0.4944310809
46	0.4906590561
47	0.4901041419
48	0.4862615307
49	0.4823029926
50	0.4808180696
51	0.4788968392
52	0.4764536325
53	0.475374133
54	0.4730293785
55	0.4726564978
56	0.4709791915
57	0.4682651984
58	0.4678251676
59	0.4651015608
60	0.4626287856
61	0.4602682522
62	0.4585029003
63	0.4550187734
64	0.4514790943
65	0.44772468
66	0.446609472
67	0.44502143
68	0.4441623598
69	0.4427855459
70	0.4410999641
71	0.4396947855
72	0.438422186
73	0.4363650998
74	0.4350582385
75	0.4323327988
76	0.4321861265
77	0.4296704416
78	0.4281409249
79	0.4263287347
80	0.4257837609
81	0.4242479862
82	0.4221844345
83	0.42119461
84	0.4192115191
85	0.4168841467
86	0.4161347601
87	0.4154665146
88	0.4133965093
89	0.4132173375
90	0.4103989972
91	0.4078688602
92	0.4077389618
93	0.4058412874
94	0.4055115642
95	0.4042018458
96	0.4033170048
97	0.401616155
98	0.4000152578
99	0.3972290693
100	0.3959093101
101	0.3946485246
102	0.3932505066
103	0.3921614431
104	0.3910371007
105	0.3891598317
106	0.3888737676
107	0.3873873956
108	0.3856899947
109	0.3855508329
110	0.3838873733
111	0.382781132
112	0.3780717321
113	0.3773031564
114	0.3756363248
115	0.3738747057
116	0.3729257249
117	0.3709472848
118	0.3697106609
119	0.3695596982
120	0.3686717101
121	0.3675615248
122	0.3654871363
123	0.3632604358
124	0.3608742419
125	0.3596386769
126	0.3582722899
127	0.3571891156
128	0.3555590853
129	0.353007567
130	0.3516845904
131	0.3500515827
132	0.3476615576
133	0.3459844798
134	0.3439575271
135	0.3432380221
136	0.3408380636
137	0.3387137279
138	0.33732848
139	0.3361555341
140	0.3347569122
141	0.3323416262
142	0.33215595
143	0.3300470347
144	0.3283477455
145	0.3265467258
146	0.3264590076
147	0.3249749473
148	0.3224456214
149	0.3217688937
150	0.3217688929
151	0.3203114786
152	0.3185666422
153	0.3170229168
154	0.3165448573
155	0.3135275741
156	0.3117014241
157	0.3089432034
158	0.3077727236
159	0.30623536
160	0.3042318624
161	0.3037302467
162	0.3017479836
163	0.2995833343
164	0.298163216
165	0.2949723495
166	0.2934173706
167	0.2919657237
168	0.2898044916
169	0.2887549985
170	0.286909582
171	0.2852022631
172	0.2826009463
173	0.2815695764
174	0.2804359336
175	0.2789528116
176	0.2775267751
177	0.276413091
178	0.2750011831
179	0.2732542965
180	0.2722544793
181	0.2710923675
182	0.2696685772
183	0.2688803085
184	0.2674957331
185	0.2663502696
186	0.2652715836
187	0.2641064007
188	0.2629485148
189	0.2616165403
190	0.2600982753
191	0.2587201624
192	0.2583315694
193	0.2570020037
194	0.2563473907
195	0.2558366151
196	0.254214165
197	0.2524944076
198	0.2506617981
199	0.2486838563
200	0.2477184924
201	0.247340612
202	0.2467424256
203	0.2451753619
204	0.2441530812
205	0.2416826316
206	0.2406777899
207	0.239798265
208	0.2384408728
209	0.2379157113
210	0.235377206
211	0.2336793113
212	0.2325080646
213	0.2314610528
214	0.2293952934
215	0.2276947444
216	0.2263151185
217	0.2248984976
218	0.2241204356
219	0.223509695
220	0.2224183126
221	0.2219867055
222	0.2204062702
223	0.2194540244
224	0.2181234663
225	0.2169819218
226	0.2156763886
227	0.2153248882
228	0.2137490125
229	0.2126315143
230	0.2121145456
231	0.2112276196
232	0.2108006651
233	0.2093234351
234	0.208478808
235	0.2072359031
236	0.2053072007
237	0.2042372671
238	0.2032300447
239	0.201966938
240	0.2012813358
241	0.2004895484
242	0.1997664802
243	0.1983618481
244	0.1971186713
245	0.1956585822
246	0.1952753616
247	0.1940993872
248	0.1926850284
