iter	Logloss
0	0.6811731953
1	0.6715006857
2	0.6660549607
3	0.6587393492
4	0.6503735713
5	0.643611357
6	0.636664455
7	0.6331560391
8	0.6254410002
9	0.6197471616
10	0.6182422935
11	0.6120784839
12	0.6087224441
13	0.6069275911
14	0.60066684
15	0.5962698387
16	0.5910712614
17	0.5866985685
18	0.5816497668
19	0.5778246407
20	0.5720146313
21	0.5666967385
22	0.5637269508
23	0.5615035603
24	0.5577668139
25	0.5546406934
26	0.5516161186
27	0.5474234153
28	0.5448793578
29	0.5425999948
30	0.5396006804
31	0.5348318716
32	0.5333256307
33	0.5309422409
34	0.5288374837
35	0.5269343664
36	0.5246180131
37	0.5215523228
38	0.5190823087
39	0.5174324862
40	0.5144457256
41	0.5122015912
42	0.5091724779
43	0.5049377272
44	0.5018327668
45	0.5001006624
46	0.4986025601
47	0.4967760787
48	0.4933347722
49	0.4902598035
50	0.4874233043
51	0.4833870253
52	0.481798032
53	0.4805493263
54	0.4796044913
55	0.4776797011
56	0.4766639417
57	0.4755437574
58	0.4733619149
59	0.4697444003
60	0.4675559332
61	0.4669890001
62	0.4651331959
63	0.4649382156
64	0.4621629712
65	0.4603910766
66	0.458928676
67	0.4575682006
68	0.4559919302
69	0.454527107
70	0.4516648703
71	0.4515057727
72	0.4510690784
73	0.4486576937
74	0.4484325618
75	0.4455627517
76	0.4439498091
77	0.4438307897
78	0.4420351073
79	0.4393688599
80	0.4376369474
81	0.435199882
82	0.4334821922
83	0.4319139352
84	0.4301554573
85	0.4275993524
86	0.4265151193
87	0.4254797499
88	0.424558365
89	0.4237560723
90	0.4230584839
91	0.4210488441
92	0.4189580542
93	0.4165928981
94	0.4143344145
95	0.4125498333
96	0.4102472299
97	0.4095347176
98	0.40797922
99	0.4051487078
100	0.4031208491
101	0.4010010914
102	0.3991688626
103	0.397588449
104	0.3973071171
105	0.3968944864
106	0.3958174235
107	0.3940556834
108	0.3924723866
109	0.3907210893
110	0.3876916066
111	0.3847068457
112	0.3834565247
113	0.3822400721
114	0.3801584426
115	0.3800314039
